DATE,USA_BOT,USA_BC,USA_CPI,USA_EXPX,USA_IMPX,USA_CPIC,USA_NFIB
2010-04-01,-37330.3636364,56.2272727273,217.284272727,120.340909091,125.822727273,2.10909090909,87.9454545455
2010-04-02,-37506.7272727,56.3545454545,217.287545455,120.381818182,125.845454545,2.11818181818,87.8909090909
2010-04-05,-37683.0909091,56.4818181818,217.290818182,120.422727273,125.868181818,2.12727272727,87.8363636364
2010-04-06,-37859.4545455,56.6090909091,217.294090909,120.463636364,125.890909091,2.13636363636,87.7818181818
2010-04-07,-38035.8181818,56.7363636364,217.297363636,120.504545455,125.913636364,2.14545454545,87.7272727273
2010-04-08,-38212.1818182,56.8636363636,217.300636364,120.545454545,125.936363636,2.15454545455,87.6727272727
2010-04-09,-38388.5454545,56.9909090909,217.303909091,120.586363636,125.959090909,2.16363636364,87.6181818182
2010-04-12,-38564.9090909,57.1181818182,217.307181818,120.627272727,125.981818182,2.17272727273,87.5636363636
2010-04-13,-38741.2727273,57.2454545455,217.310454545,120.668181818,126.004545455,2.18181818182,87.5090909091
2010-04-14,-38917.6363636,57.3727272727,217.313727273,120.709090909,126.027272727,2.19090909091,87.4545454545
2010-04-15,-39094.0,57.5,217.317,120.75,126.05,2.2,87.4
2010-04-16,-39270.3636364,57.6272727273,217.320272727,120.790909091,126.072727273,2.20909090909,87.3454545455
2010-04-19,-39446.7272727,57.7545454545,217.323545455,120.831818182,126.095454545,2.21818181818,87.2909090909
2010-04-20,-39623.0909091,57.8818181818,217.326818182,120.872727273,126.118181818,2.22727272727,87.2363636364
2010-04-21,-39799.4545455,58.0090909091,217.330090909,120.913636364,126.140909091,2.23636363636,87.1818181818
2010-04-22,-39975.8181818,58.1363636364,217.333363636,120.954545455,126.163636364,2.24545454545,87.1272727273
2010-04-23,-40152.1818182,58.2636363636,217.336636364,120.995454545,126.186363636,2.25454545455,87.0727272727
2010-04-26,-40328.5454545,58.3909090909,217.339909091,121.036363636,126.209090909,2.26363636364,87.0181818182
2010-04-27,-40504.9090909,58.5181818182,217.343181818,121.077272727,126.231818182,2.27272727273,86.9636363636
2010-04-28,-40681.2727273,58.6454545455,217.346454545,121.118181818,126.254545455,2.28181818182,86.9090909091
